name,price,status,shipping,free_returns,items_sold
"EVGA GeForce RTX 3080 FTW3 Ultra Hybrid, NOT HASHRATE LIMITED",152500,Open Box,6280,False,
ASUS TUF RTX 3080 OC 10G GDRR6X Graphics Card TUF-RTX3080-O10G-V2-GAMING NEW,156499,Brand New,0,False,
GIGABYTE AORUS GeForce RTX 3080 Ti XTREME WATERFORCE WB 12GB Graphics Card,199999,Brand New,0,False,0
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 1‎0GB GDDR6X Graphics Card,130000,Brand New,,False,
MSI GeForce RTX 3080 10GB Video Card RTX 3080 SEA HAWK X 10GB UNOPENED ,200000,Brand New,7110,False,
NEW ✅ GIGABYTE AORUS GEFORCE RTX 3080 Ti MASTER 12GB GDDR6X ⚡ GRAPHICS CARD GPU ,188999,Brand New,0,False,0
New ListingNVIDIA - GeForce RTX 3080 Ti 12GB GDDR6X FE Founders Edition Graphics Card GPU,187500,Brand New,1250,False,
GIGABYTE GeForce RTX 3080 GAMING OC WATERFORCE WB 10G (rev2.0) 8GB GDDR6X...,112500,Brand New,1065,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING Graphics Card LHR,156900,Brand New,0,False,
MSI GeForce RTX 3080 Gaming Z Trio 10GB GDDR6X Graphics Card,149999,Open Box,1265,False,
GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X Graphics Card REV 2.0 - LHR,152500,Brand New,1425,False,
🔥**NEW**🔥 GIGABYTE AORUS GeForce RTX 3080 XTREME 10G REV2 LHR GPU 📦SHIP ASAP,170000,Brand New,955,False,
GIGABYTE GeForce RTX 3080 VISION OC 10G Graphics Card - REV1 Non-LHR,145500,Pre-Owned,6211,False,
ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X Graphics Card,142969,Brand New,2064,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,170000,Brand New,1757,False,
evga geforce rtx 3080 ftw3 ultra non lhr,195000,Open Box,3000,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,138900,Brand New,1355,False,
NON LHR EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card,182500,Pre-Owned,2045,False,
New ListingNON LHR EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card Bstock,230000,Pre-Owned,1499,False,
